,match_id,match_name,home_team,away_team,current_innings,innings_id,fullName,runs,ballsFaced,minutes,fours,sixes,strikeRate,isNotOut,position
0,1298179,ENG v PAK,PAK,ENG,PAK,1,Mohammad Rizwan,15,14,24,0,1,107.14,False,1
1,1298179,ENG v PAK,PAK,ENG,PAK,1,Babar Azam,32,28,58,2,0,114.28,False,2
2,1298179,ENG v PAK,PAK,ENG,PAK,1,Mohammad Haris,8,12,15,1,0,66.66,False,3
3,1298179,ENG v PAK,PAK,ENG,PAK,1,Shan Masood,38,28,46,2,1,135.71,False,4
4,1298179,ENG v PAK,PAK,ENG,PAK,1,Iftikhar Ahmed,0,6,8,0,0,0,False,5
5,1298179,ENG v PAK,PAK,ENG,PAK,1,Shadab Khan,20,14,26,2,0,142.85,False,6
6,1298179,ENG v PAK,PAK,ENG,PAK,1,Mohammad Nawaz,5,7,11,0,0,71.42,False,7
7,1298179,ENG v PAK,PAK,ENG,PAK,1,Mohammad Wasim,4,8,12,0,0,50,False,8
8,1298179,ENG v PAK,PAK,ENG,PAK,1,Shaheen Shah Afridi,5,3,8,1,0,166.66,True,9
9,1298179,ENG v PAK,PAK,ENG,PAK,1,Haris Rauf,1,1,3,0,0,100,True,10
10,1298179,ENG v PAK,PAK,ENG,ENG,2,Jos Buttler,26,17,33,3,1,152.94,False,1
11,1298179,ENG v PAK,PAK,ENG,ENG,2,Alex Hales,1,2,6,0,0,50,False,2
12,1298179,ENG v PAK,PAK,ENG,ENG,2,Phil Salt,10,9,16,2,0,111.11,False,3
13,1298179,ENG v PAK,PAK,ENG,ENG,2,Ben Stokes,52,49,81,5,1,106.12,True,4
14,1298179,ENG v PAK,PAK,ENG,ENG,2,Harry Brook,20,23,36,1,0,86.95,False,5
15,1298179,ENG v PAK,PAK,ENG,ENG,2,Moeen Ali,19,12,30,3,0,158.33,False,6
16,1298179,ENG v PAK,PAK,ENG,ENG,2,Liam Livingstone,1,2,3,0,0,50,True,7
17,1298178,ENG v INDIA,INDIA,ENG,INDIA,1,KL Rahul,5,5,8,1,0,100,False,1
18,1298178,ENG v INDIA,INDIA,ENG,INDIA,1,Rohit Sharma,27,28,37,4,0,96.42,False,2
19,1298178,ENG v INDIA,INDIA,ENG,INDIA,1,Virat Kohli,50,40,75,4,1,125,False,3
20,1298178,ENG v INDIA,INDIA,ENG,INDIA,1,Suryakumar Yadav,14,10,14,1,1,140,False,4
21,1298178,ENG v INDIA,INDIA,ENG,INDIA,1,Hardik Pandya,63,33,47,4,5,190.9,False,5
22,1298178,ENG v INDIA,INDIA,ENG,INDIA,1,Rishabh Pant,6,4,13,1,0,150,False,6
23,1298178,ENG v INDIA,INDIA,ENG,INDIA,1,Ravichandran Ashwin,0,0,4,0,0,-,True,7
24,1298178,ENG v INDIA,INDIA,ENG,ENG,2,Jos Buttler,80,49,74,9,3,163.26,True,1
